iter	Passed	Remaining
0	132	132743
1	133	66757
2	134	44688
3	135	33676
4	135	27046
5	136	22624
6	137	19469
7	138	17118
8	139	15340
9	140	13874
10	140	12662
11	141	11662
12	142	10807
13	143	10074
14	143	9443
15	145	8964
16	146	8479
17	147	8036
18	148	7644
19	148	7287
20	149	6964
21	150	6676
22	150	6413
23	152	6183
24	152	5958
25	153	5754
26	154	5561
27	154	5380
28	155	5214
29	156	5059
30	157	4917
31	158	4790
32	159	4662
33	159	4540
34	160	4423
35	161	4316
36	161	4214
37	162	4119
38	163	4032
39	164	3945
40	165	3860
41	165	3779
42	166	3702
43	167	3628
44	167	3560
45	168	3492
46	169	3434
47	170	3373
48	170	3314
49	171	3259
50	172	3210
51	173	3167
52	174	3123
53	175	3077
54	176	3033
55	177	2990
56	178	2945
57	178	2900
58	179	2859
59	180	2822
60	180	2785
61	181	2749
62	182	2712
63	182	2676
64	183	2641
65	184	2607
66	184	2575
67	185	2544
68	186	2517
69	187	2488
70	187	2459
71	188	2430
72	189	2402
73	189	2375
74	190	2348
75	191	2322
76	191	2298
77	192	2274
78	193	2250
79	193	2227
80	194	2206
81	195	2185
82	195	2160
83	196	2139
84	196	2118
85	197	2099
86	198	2084
87	199	2067
88	200	2048
89	200	2030
90	201	2012
91	202	1994
92	202	1976
93	203	1959
94	203	1942
95	204	1925
96	205	1910
97	205	1894
98	206	1879
99	207	1863
100	207	1849
101	208	1833
102	208	1819
103	209	1805
104	210	1791
105	210	1777
106	211	1765
107	212	1752
108	212	1738
109	213	1726
110	214	1714
111	214	1702
112	215	1690
113	216	1679
114	216	1668
115	217	1658
116	218	1646
117	218	1635
118	219	1625
119	220	1614
120	220	1603
121	221	1591
122	221	1581
123	222	1571
124	223	1561
125	223	1552
126	224	1542
127	225	1532
128	225	1524
129	226	1514
130	227	1506
131	227	1497
132	228	1489
133	229	1481
134	230	1476
135	231	1468
136	231	1459
137	232	1451
138	233	1443
139	233	1435
140	234	1427
141	234	1418
142	235	1411
143	236	1403
144	236	1396
145	237	1388
146	238	1381
147	238	1373
148	239	1366
149	239	1359
150	240	1352
151	241	1345
152	241	1339
153	242	1332
154	243	1326
155	243	1319
156	244	1313
157	245	1306
158	245	1300
159	246	1293
160	246	1286
161	247	1280
162	248	1274
163	248	1268
164	249	1262
165	250	1256
166	250	1250
167	251	1244
168	252	1239
169	252	1233
170	253	1227
171	253	1222
172	254	1216
173	255	1211
174	255	1206
175	256	1200
176	257	1195
177	257	1190
178	258	1184
179	258	1179
180	259	1174
181	260	1169
182	260	1164
183	261	1159
184	262	1154
185	262	1149
186	263	1145
187	264	1140
188	264	1135
189	265	1131
190	265	1126
191	266	1121
192	267	1117
193	267	1113
194	268	1108
195	269	1104
196	269	1099
197	270	1095
198	271	1091
199	271	1086
200	272	1082
201	273	1078
202	273	1074
203	274	1070
204	275	1066
205	275	1062
206	276	1058
207	276	1054
208	277	1050
209	278	1046
210	278	1042
211	279	1038
212	280	1035
213	280	1031
214	281	1027
215	282	1023
216	282	1020
217	283	1016
218	284	1012
219	284	1009
220	285	1005
221	286	1002
222	286	999
223	287	995
224	288	992
225	288	988
226	289	985
227	289	981
228	290	978
229	291	975
230	291	971
231	292	968
232	293	965
233	293	962
234	294	959
235	295	955
236	295	952
237	296	949
238	297	945
239	297	942
240	298	939
241	299	937
242	299	934
243	300	931
244	301	928
245	301	925
246	302	922
247	303	919
248	304	916
249	304	914
250	305	912
251	306	910
252	307	907
253	308	904
254	308	901
255	309	899
256	310	896
257	310	894
258	311	891
259	312	889
260	313	886
261	313	884
262	314	881
263	315	879
264	316	876
265	316	873
266	317	871
267	318	868
268	318	866
269	319	864
270	320	861
271	321	859
272	321	856
273	322	854
274	323	852
275	324	850
276	324	847
277	325	845
278	326	843
279	327	841
280	328	839
281	328	837
282	329	834
283	330	832
284	330	830
285	331	828
286	332	825
287	333	824
288	334	821
289	334	819
290	335	817
291	336	815
292	337	813
293	337	811
294	338	808
295	339	806
296	339	804
297	340	801
298	341	799
299	341	797
300	342	795
301	343	793
302	344	791
303	344	789
304	345	787
305	346	785
306	346	783
307	347	781
308	348	779
309	349	777
310	349	775
311	350	773
312	351	771
313	352	769
314	352	767
315	353	765
316	354	763
317	355	761
318	355	759
319	356	758
320	357	756
321	358	753
322	358	752
323	359	750
324	360	748
325	361	746
326	361	745
327	362	743
328	363	741
329	364	739
330	364	737
331	365	735
332	366	733
333	367	731
334	367	730
335	368	728
336	369	726
337	370	724
338	370	723
339	371	721
340	372	719
341	373	717
342	373	715
343	374	714
344	375	712
345	376	710
346	376	708
347	377	706
348	378	705
349	378	703
350	379	701
351	380	699
352	381	698
353	381	696
354	382	694
355	383	693
356	383	691
357	384	689
358	385	687
359	385	686
360	386	684
361	387	682
362	388	681
363	388	679
364	389	677
365	390	676
366	391	674
367	391	672
368	392	671
369	393	669
370	394	668
371	394	666
372	395	664
373	396	663
374	396	661
375	397	659
376	398	658
377	399	656
378	399	655
379	400	653
380	401	652
381	402	650
382	402	648
383	403	647
384	404	645
385	404	644
386	405	642
387	406	640
388	406	639
389	407	637
390	408	636
391	409	634
392	409	633
393	410	632
394	411	630
395	412	628
396	413	627
397	413	626
398	414	624
399	415	623
400	416	621
401	416	620
402	417	618
403	418	617
404	418	615
405	419	613
406	420	612
407	420	610
408	421	609
409	422	607
410	422	606
411	423	604
412	424	603
413	425	601
414	425	600
415	426	598
416	427	597
417	428	596
418	428	594
419	429	593
420	430	592
421	431	590
422	431	589
423	432	587
424	433	586
425	434	584
426	434	583
427	435	582
428	436	580
429	436	579
430	437	577
431	438	576
432	438	574
433	439	573
434	440	572
435	441	570
436	441	569
437	442	567
438	443	566
439	444	565
440	444	563
441	445	562
442	446	560
443	446	559
444	447	558
445	448	556
446	449	555
447	449	554
448	450	552
449	451	551
450	451	549
451	452	548
452	453	547
453	454	546
454	454	544
455	455	543
456	456	542
457	457	540
458	457	539
459	458	538
460	459	536
461	459	535
462	460	534
463	461	533
464	462	531
465	463	530
466	463	529
467	464	528
468	465	526
469	466	525
470	466	524
471	467	522
472	468	521
473	468	520
474	469	519
475	470	517
476	471	516
477	471	515
478	472	514
479	473	512
480	474	511
481	474	510
482	475	508
483	475	507
484	476	506
485	477	504
486	478	503
487	478	502
488	479	500
489	480	499
490	480	498
491	481	497
492	482	495
493	482	494
494	483	493
495	484	491
496	484	490
497	485	489
498	486	488
499	486	486
500	487	485
501	488	484
502	488	483
503	489	481
504	490	480
505	491	479
506	491	478
507	492	476
508	492	475
509	493	474
510	494	473
511	494	471
512	495	470
513	496	469
514	497	468
515	497	466
516	498	465
517	499	464
518	499	463
519	500	461
520	501	460
521	501	459
522	502	458
523	503	456
524	503	455
525	504	454
526	505	453
527	505	452
528	506	450
529	507	449
530	507	448
531	508	447
532	509	446
533	509	444
534	510	443
535	511	442
536	511	441
537	512	440
538	513	438
539	513	437
540	514	436
541	515	435
542	516	434
543	516	433
544	517	431
545	517	430
546	518	429
547	519	428
548	519	427
549	520	425
550	521	424
551	521	423
552	522	422
553	523	421
554	523	420
555	524	418
556	525	417
557	525	416
558	526	415
559	527	414
560	528	413
561	528	412
562	529	410
563	530	409
564	530	408
565	531	407
566	532	406
567	532	405
568	533	403
569	534	402
570	534	401
571	535	400
572	536	399
573	536	398
574	537	397
575	538	396
576	538	394
577	539	393
578	540	392
579	540	391
580	541	390
581	542	389
582	543	388
583	543	387
584	544	386
585	545	385
586	545	383
587	546	382
588	547	381
589	547	380
590	548	379
591	549	378
592	549	377
593	550	376
594	550	375
595	551	373
596	552	372
597	553	371
598	553	370
599	554	369
600	555	368
601	555	367
602	556	366
603	557	365
604	557	364
605	558	363
606	559	361
607	559	360
608	560	359
609	561	358
610	561	357
611	562	356
612	563	355
613	563	354
614	564	353
615	565	352
616	565	351
617	566	350
618	566	348
619	567	347
620	568	346
621	569	345
622	569	344
623	570	343
624	571	342
625	571	341
626	572	340
627	573	339
628	573	338
629	574	337
630	574	336
631	575	335
632	576	333
633	576	332
634	577	331
635	577	330
636	578	329
637	579	328
638	579	327
639	580	326
640	581	325
641	581	324
642	582	323
643	582	322
644	583	321
